Имя-RUS,Имя-ENG,Год рождения,Год смерти,Возраст,Эпоха,Переехал,Родился,Количество произведений
Гуммель,Hummel,1778,1837,58,"Классицизм, Ранний Романтизм",Австрия,Венгрия,175
Паганини,Paganini,1782,1840,57,"Классицизм, Ранний Романтизм",,Италия,143
Вебер,Weber,1786,1826,39,"Классицизм, Ранний Романтизм",,Германия,133
Керубини ,Cherubini,1760,1842,81,"Классицизм, Ранний Романтизм",Франция,Италия,54
Мейербер,Meyerbeer,1791,1864,72,"Классицизм, Ранний Романтизм",Франция,Германия,50
Нильсен,Carl Nielsen,1865,1931,66,"Поздний Романтизм",,Дания,244
Бузони,Busoni ,1866,1924,58,Поздний Романтизм,,Италия,214
Рахманинов,Rachmaninoff,1873,1943,69,Поздний Романтизм,США,Россия,186
Брукнер,Bruckner,1824,1896,72,"Поздний Романтизм",,Австрия,166
Яначек,Janáček,1854,1928,74,Поздний Романтизм,,Чехия,158
Глазунов,Glazunov,1865,1936,70,Поздний Романтизм,,Россия,141
Гранадос,Granados,1867,1916,48,Поздний Романтизм,,Испания,138
Танеев,Taneyev,1856,1915,58,Поздний Романтизм,,Россия,138
Бич Эми,Amy Beach,1867,1944,77,Поздний Романтизм,,США,133
Элгар,Elgar,1857,1934,76,Поздний Романтизм,,Великобритания,133
Пуччини,Puccini,1858,1924,65,Поздний Романтизм,,Италия,106
Цемлинский,Zemlinsky,1871,1942,70,Поздний Романтизм,,Австрия,105
Лядов,Lyadov,1855,1914,59,Поздний Романтизм,,Россия,75
Альбенис,Albéniz,1860,1909,48,Поздний Романтизм,,Испания,55
Малер,Mahler,1860,1911,50,Поздний Романтизм,Австрия,Чехия,29
Смит Этель,Ethel Smyth,1858,1944,86,"Поздний Романтизм",,Великобритания,19
Штраус Рихард,Richard Strauss,1864,1949,85,"Поздний Романтизм, XX век",,Германия,193
Воан-Уильямс,Vaughan Williams,1872,1958,85,"Поздний Романтизм, XX век",,Великобритания,180
Сати,Satie,1866,1925,59,"Поздний Романтизм, XX век",,Франция,154
Дебюсси,Debussy,1862,1918,55,"Поздний Романтизм, XX век",,Франция,153
Респиги,Respighi,1879,1936,56,"Поздний Романтизм, XX век",,Италия,145
Барток,Bartók,1881,1945,64,"Поздний Романтизм, XX век",,Венгрия,113
Скрябин,Scriabin,1872,1915,43,"Поздний Романтизм, XX век",,Россия,106
Равель,Ravel,1875,1937,62,"Поздний Романтизм, XX век",,Франция,76
Шимановский,Szymanowski,1882,1937,54,"Поздний Романтизм, XX век",Польша,Украина,64
Фалья Мануэль де,Manuel de Falla,1876,1946,69,"Поздний Романтизм, XX век",,Испания,39
Айвз Чарлз,Ives,1874,1954,79,"Поздний Романтизм, авангард",,США,261
Стравинский,Stravinsky,1882,1971,88,"Поздний Романтизм, авангард",,Россия,138
Шёнберг,Schoenberg,1874,1951,76,"Поздний Романтизм, авангард",Австрия,США,72
Веберн,Webern,1883,1945,61,"Поздний Романтизм, авангард",,Австрия,69
Берг,Berg,1885,1935,50,"Поздний Романтизм, авангард",,Австрия,21
Штраус Иоганн (сын),J. Strauss II,1825,1899,73,Ранний Романтизм,,Австрия,579
Мендельсон,Mendelssohn,1809,1847,38,Ранний Романтизм,,Германия,457
Доницетти,Donizetti,1797,1848,50,Ранний Романтизм,,Италия,373
Штраус Иоганн (отец),J. Strauss I,1804,1849,45,Ранний Романтизм,,Австрия,264
Шуман,Schumann,1810,1856,46,Ранний Романтизм,,Германия,196
Шопен,Chopin,1810,1849,39,Ранний Романтизм,Франция,Польша,160
Глинка,Glinka,1804,1857,52,Ранний Романтизм,,Россия,152
Мендельсон Фанни,Fanny Hensel,1805,1847,41,Ранний Романтизм,,Германия,84
Даргомыжский,Dargomyzhsky,1813,1869,55,Ранний Романтизм,,Россия,80
Беллини,Bellini,1801,1835,33,Ранний Романтизм,,Италия,62
Шуман Клара,Clara Schumann,1819,1896,76,Ранний Романтизм,,Германия,45
Фарранк,Farrenc,1804,1875,71,Ранний Романтизм,,Франция,33
Адан,Adam,1803,1856,52,Ранний Романтизм,,Франция,26
Машо Гийом де,Guillaume de Machaut,1300,1377,77,Средневековье,,Франция,127
Хильдегарда Бингенская,Hildegard von Bingen,1098,1179,81,Средневековье,,Германия,66
Адам де ла Аль,Adam de la Halle,1237,1288,51,Средневековье,,Франция,34
Франческо,Francesco Landini,1335,1397,62,"Средневековье",,Италия,32
Леонин,Léonin,1150,1210,60,Средневековье,,Франция,22
Перотин,Pérotin,1160,1230,70,Средневековье,,Франция,22
Филипп,Philippe de Vitry,1291,1361,70,Средневековье,,Франция,18
Пьер де ла Круа,Pierre de la Croix,1270,1300,30,Средневековье,,Франция,4
Беншуа Жиль,Gilles Binchois,1400,1460,60,"Средневековье, Возрождение",,Нидерланды,36
Данстейбл Джон,John Dunstable,1390,1453,63,"Средневековье, Возрождение",,Великобритания,17
Имя-RUS,Имя-ENG,Год рождения,Год смерти,Возраст,Эпоха,Переехал,Родился,Количество произведений
